id,url_id,user_id,created_at,type,is_mention
1242247794053623811,None,None,2020-03-24T00:32:08.000Z,None,None
1242247730556264448,33596639,1224892865114988544,2020-03-24T00:31:53.000Z,retweet,False
1242247709240766464,33596639,716775092882112516,2020-03-24T00:31:48.000Z,retweet,False
1242247697656172545,None,None,2020-03-24T00:31:45.000Z,None,None
1242247692065136640,33596639,251303409,2020-03-24T00:31:44.000Z,retweet,False
1242247679905800193,33596639,1238619699837050880,2020-03-24T00:31:41.000Z,retweet,False
1242247646988787712,33596639,3264821915,2020-03-24T00:31:33.000Z,retweet,False
1242247645122494465,33596639,991881528866168832,2020-03-24T00:31:33.000Z,quote,False
1242247747643809793,33596639,1214677588666437634,2020-03-24T00:31:57.000Z,retweet,False
1242247606425788417,33596639,2893503165,2020-03-24T00:31:23.000Z,retweet,False
1242248073251819520,33596639,824359736208408577,2020-03-24T00:33:15.000Z,retweet,False
1242248080294117380,None,None,2020-03-24T00:33:16.000Z,None,None
1242248713357135873,33596639,18399686,2020-03-24T00:35:47.000Z,retweet,False
1242248705505402880,33596639,3240862304,2020-03-24T00:35:45.000Z,retweet,False
1242248678498283520,33596639,3932768472,2020-03-24T00:35:39.000Z,quote,False
1242248644541251584,33596639,872068302595477505,2020-03-24T00:35:31.000Z,retweet,False
1242248631501144066,33596639,214079203,2020-03-24T00:35:28.000Z,retweet,False
1242248601776128000,None,None,2020-03-24T00:35:21.000Z,None,None
1242248584638029824,33596639,2245245560,2020-03-24T00:35:17.000Z,retweet,False
1242248078859677698,None,None,2020-03-24T00:33:16.000Z,None,None
1242248541516386304,33596639,952871646448140289,2020-03-24T00:35:06.000Z,retweet,False
1242248429444763648,33596639,456368049,2020-03-24T00:34:40.000Z,retweet,False
1242248414982701058,33596639,1941778850,2020-03-24T00:34:36.000Z,retweet,False
1242248368648335362,33596639,874743020,2020-03-24T00:34:25.000Z,retweet,False
1242248354995695616,33596639,1216904386053468160,2020-03-24T00:34:22.000Z,retweet,False
1242248330396098561,None,None,2020-03-24T00:34:16.000Z,None,None
1242248301744971791,33596639,3998702667,2020-03-24T00:34:09.000Z,retweet,False
