id,screen_name
2937854619,Sammie_Snickers
457984599,BreitbartNews
25073877,realDonaldTrump
113488773,junipersage1
66183419,kimstew55
10186122,moore4leah
1002827313480953856,Lucio_KAG
598319603,MdlMurray
325017056,martisw1971
756612374392606721,PressRelease321
1261474001316196361,miga_re
1250207144181411840,Qthepopcorn
285902442,SunnyJL52
898257255736516608,SusanHaymon1
1001545701858398210,Furball42869140
1069375726539943936,ShirleyRinguet5
1078742712822714368,GoodeAmbrose
1505915954,commanderwhith
966389775530897408,DESERTF26408683
978864793477054465,RoseDC11
1210342577880387584,D77Maggie
2312685979,AnnaOBr92333432
820789190900137984,Linlbk12150731
145543205,gerardfchavez
732578211142328320,Bsadie123
1174392917474963457,Lisamarie3672
1223846015704260608,JTolbott
821177585669263360,justjumpedin
35873665,mynananana
965596625895854080,rickster1012
223065519,th3nn3ss
265082555,ajgraves14
1228060020157407242,Granddaddog
832094365644238848,not_hyphenated
907086313702154240,AlohaFrancesca
26068217,irishchick341
1256657356068458502,Esther87068907
636548813,rb25uk
50132544,sussssan
32337985,katheyjberry
813561097051574272,sakimasse
1158835503229231110,LMTaylo37643486
35298962,KalV194
23025050,lmramey
1208941911618158592,RonJone15325382
197575346,FightOnJAL
4320809783,kshw5678
735688014161018880,BRNordgren
746005329494818816,clitos316
757326529873313792,MalcomAlvarez4
964603058888978434,Don45USA
2807220972,M_RevereUSA
4281810921,rhsvcs
361964171,jrbett2
1257417842833702912,TanjaTWinkler1
1220080444689068032,Ko17595870
883160220926607361,Alpha2800
967265382217146368,Cliffor95293715
1151683166744252416,JoAnn99167659
3066977862,cao1905
4761369475,AmyOttinger415
895051262735114241,bauer_julie
816358072029351936,1965vmjw
798664982410002432,DMBincredible
1249694819758342144,AnaCamp33670486
314249532,lumezgo77
1096254989767331841,Patriot57793635
1455286956,JewelsJones1
2225747204,SergeHalytsky
1183011468154941445,nana_writes
2465019278,TDomanoski
1179837006,CarSyd63
83841942,elgomes15
1049323999728230401,AncaUngureanu13
22553300,DeniseHenwood
1252347043785261063,IRISCRANE15
2245273230,DakotaTuff
828696274983591937,o_plaisance
16123151,Dilbertian
2202255469,hysister19
1512460285,FormerUSN
1547104238,trump2020yeaah
74791200,lunartom
1301974039,Melrpell
1669075946,MinisterWarwick
1004694257725296641,AnonCassi
1113145633643290624,HennigerRanee
789046939195052032,JohnnyKishi
1176466803737944065,AnnMariePetry1
1261672865008513025,JT3035
4855401508,grege1953
1257328006390878211,yournextpresid5
4138196135,thecrewsin
1117666680455307269,BlancheBullshit
3061797379,CashBama
49875775,lonesquirrel
795255665430241280,concerned_fan08
780221828711100416,TrollingDTrump
996505647943315456,Eren30620277
1252616555218649089,HereIAm65094900
1180953739793842176,lindamluvspotus
4795564213,JimP3737
980926477230313472,Ree091205
718925792,kesayers
1080587383911993346,PathOfRadiance2
613043471,NYGLADYS
47177318,keno111
316486700,MaryBirkey
822970994851794946,KimInTulsa
2304113455,p_p_beltran
12889652,ColinBrauns
16505251,pictou
929005856250671104,Jane_the_Deplor
32286534,cornelioadams
4890686305,bettybooptru2
1268744662753218563,James67825829
132321543,cjstocksup
52325213,MamaMunger
1022108400828772353,HighUpNorse
4389087743,lovemycountry26
65820260,alabamamangreg
1039240740377976832,LindaWa53201017
26651825,Pegasus227
923535654,NY212Mick
849111344116838400,Truthteller1349
4810875497,grannyE15
493726408,susiesky100
134587656,badkitty251
1236186973028511744,ARTB881
77259941,DavidLispi
79007483,elyse777
332801218,Teacake77
1041726850869981186,Mwengway72
1177024376857743362,Reelingpatriot
39420635,kgirlonthebeach
1149703322078552064,bluebird0088
746567435470405633,DemsH8Americans
1183985473,stick3_75
4872993094,Cozy1614
934085399961636864,GilGrieve1
2411105876,eileenwilk1
830458633066524674,GregoryMoriart4
46103616,clarityx
1025157236245581824,PedroTrump45
158739092,susu1954
1006892574873878529,energymedia1
756516731988824064,Chermath54
874084542,rnihiser1
455943080,QAnon2Q2Q
22532674,zekebucks
1017565729716088834,Vfigi1
1249412076562341889,Rico46114710
3326940809,usNewshound
874295622622367744,dgaliger2
902253996433440768,MaryFerra7
295824553,guy_next_to_me
1108732289670922242,doppiette
1091019919204995073,wondermichele
491875567,peopletalk15
1345674222,vicky_vglend
361004571,Silc_nj
819333425203150848,BeKindOkk
1181751782323691520,sleepnsnow
22292787,EileenDiana
105230451,Justice4allCQ
965193276562132993,_TrumpWins2020
817348080899080192,GarnoRealestate
989620905641885696,PoliBard
1034179578456141826,tentacle_pup
792382844731437056,pilarmel13
3684126388,ChakanetzaClive
1151136768869261312,tomcatright
1160368746625740801,Thompso55477641
1192289846406057984,GracyJoey
1257958683042078720,pearlharbor2020
3265582615,Patty1z
1027912178182041600,DrUSofA1
826124051869528065,ForTrump2020
1220457772212338688,Bass_Elder66
1105109168,TeresaSkaggs5
1151039620156497921,SuddenD08826073
608126205,Bignasty5150
988222332643790848,toal_maggie
611178830,DenaliPac
1183808979178311689,NOFEAR46966259
1171196331945275392,ColSDM
2353949773,dirtymagee
20925961,Lilsunshinegurl
34175460,JLP20
244122465,S1NZSA1NTQ_ued
742024397003755520,JD_Skinner58
745109156,chass2008
2279856378,DrJohn76533054
19409135,rhowman
818134415792631810,Ginnif58
236612480,TXPSALM55
1240283261466750977,LoveGraceWon
923368757803847680,ttocs35
818843631347961861,co98489559
1015440200569257984,AlbertCarey8
1048315409382998016,DanGillick1
3930472251,Out5p0ken
3193571952,1Krohmer13
1233866925270274048,MargieRuth60
350961525,WillieGarson
345551240,DefundMSM
