id,screen_name
32304381,JxhnBinder
828983400396632064,EffinBartIt
1271644199281098752,k93732371
748253412064636928,clanu2
116467564,stkcrow
970446627537342467,TessaBien
175593342,Heartwords3
287505023,justonepatriot
3252941103,princessocculta
1217398872445739009,BorderHawkNews
991819500,plwtigers
61643690,jamesldewitt
1722710880,LaurelBkerr
2738477133,FairyQ15
3195652508,4katzBeth
1208760392492544001,KatieJ02444098
39929985,EYEFOLLOWHIM
951965474904051712,TiredofBS11
163537394,X_xDKx_X
787745810,johnazander
1593299810,UncleFunkyTX
3392302649,CuomoCorruption
1181648715016212483,RConau
782132995994025984,Bubalub1021
2692408188,tellsit23
2159796912,lulubellehen
4064981488,laura4USA
966773016146468865,connorgambell
395491775,PL14
1231045759543500801,sam08430887
2738119976,LuvVolatility
23618020,JustaGina
2904743234,munchietee
156259840,skileyman21
428696313,lvfreefall
128150518,TonysC3DWorld
4885405884,SusanIverach
41653751,Raffmaster
4547821336,pissedoff53
936608277617618945,Johnmacreds
3635303735,patflorida7171
281014242,ghostlike65
1095015399702364161,Antoine32470724
1001545701858398210,Furball42869140
801585294,antoun_michael
752636869796585476,Cdeeman123
597508543,IceT03
824785119672139776,ScottUSApatriot
816433712070004736,cnewlms1
732308827710881792,triciabach
1082832201132228609,frostfeet21
3983196635,elizabehsotner
1258554970850447361,AirBoss99276790
906027978370330625,Jon29696777
825509722350551040,breachdoctrine
1495646468,Cmblom2420
823648093442899970,SM4USA
1244755047977758721,freelove_l
719559939,DebraSteffes
1267797610158571526,RestoreJustice4
49023129,cjtruth
1098654493565222914,mollyco8
1970583768,rvillarreal63
767329581837783040,xbrooklynite21
1268621570941030400,QPatriots1
214948120,ReallyQed
1202357799344377856,Bass201585
31738725,karliesl
1236415271335866369,Vickie88333263
229246026,erstlecocq
984966215201419269,ChrisLowicki
1266919552434212865,BENDOVERURCOOCH
838054245526093826,Bee26313852
1268619976308654080,JustForThought8
991791138,klsnana6
1117666680455307269,BlancheBullshit
30509664,shillelagh1
1020872395094134784,DancingCurious
717755642144886784,MaryFass3
1218049115189383168,anaon77
1085917454826725376,SpicyCuban17
1430515686,PennslytckySue
884764947405717504,KRoadhog
1022108400828772353,HighUpNorse
1242984084684627970,M95874620
1260385302880780288,timesup4traito1
1247528499113365506,Ravenessence1
1059432467768139777,deplorabeachler
3433704993,lwhite2112
196794602,BillHall111
1026703982100660224,JanetSamples5
4018754963,bryan_mathison
555454724,JetteBurner
847003200133697536,poison4u2get
1252930841199640576,_Denise_Barker
1096467380287488001,RickVeaks
359327898,junebug3122
878353910259437568,JohnS3134
829796439702134784,Rivera2Vickie
2437057482,digger4240
1038121897,K4719971
1245722550166007808,MGK_2417
494723634,TCButz13
353996180,word_in_edgewis
287434334,cheryl319
15149605,PotStirrer205
19220785,artisanmosaics
1080796608839614464,GenCarlosQ17
360343192,NLTCNY
3242282429,Blueyes9445
3940869200,Stockquest44
715180041903202305,uhvgottabkiddin
756233756516749313,KLomiglio
916846870818902016,lynnemiles01
763952535245688833,piper_low
1040974798673858560,RdawgD
725384316587499520,Carolinetelesc1
1180953739793842176,lindamluvspotus
1265779452039983105,Kado383
833319975091847168,CindyLewis_7
1055930895125938177,patriot7842
615366701,RdCh06
947352575929589760,robert27475000
1204179842,grendizer2007
1242860485348900866,dryeyeinthesky
2342591798,GRocjr
958166407,wake_hell
937050159812435969,Debrina122
953866675199229953,AlaskaJo2
1210162916,TitusRCrockett
873518344145694721,KetofiedTammy
1252901003231453184,Buppy76651415
1251171161343483904,rangobra82
1197907757183229953,kanyewe73613626
759027551213715456,TowleCarolyn
1088212339747360768,JoanneP22378154
893617589506777088,cstjohn_mom
2460661134,goldste57881662
1276473233722785793,JamesOmullins
1208796985240649728,StandfastB
1245725011911925760,PatriotsPosseUp
2928077969,Loading12345678
1255787629423079424,KimConw52320370
1244377014896693248,Rena24714285
953975812545499136,FBattels
2237067789,DysonMJ
2234981292,ErikSkifter
281321889,vickithenanny
1084575792636387330,BLESSED83566998
364261692,a1flaherty
821730062592577540,JMBrown53788079
1202535775260348418,CobGypsy
2459520924,taniparrish
119074555,WHETZ55
1256240743426994177,j_price2020
216392707,pierrechalifour
813060368591421441,kathleen_ruger
1160011183484735497,Connor38002949
1112509792063385602,onelittle8
1325764100,WhisperingMissy
458043952,raslady1
1151123842376642560,TrumpPatriotUS1
1229029072526815233,WhiskeyMaga
1259888190472753156,MKenny59177122
1258997402352181249,Arianna62151936
1270764011467034624,Sakura_Love03
1184254295375536133,DemoOut
2479409101,cosmicStar55
701164616093712387,Rae0718
2186599788,gdwilkins
885474422,gloriapbuchanan
735456022899232773,Cindy81810115
2300733807,values_southern
1158546582788333568,1965Bee
934227950563725315,DCurtis74017098
1119768429412651009,EOW2020PA
299309113,pierre_a_alonso
589078873,AdrianQ25
1032070851099865089,SantinoCorlion2
817155288084217856,TomMishoe
1259945798457933824,Penny74Money
330394618,daysamhay
386946692,LeeMo79
1153003448440426504,Ruck81293793
4784709943,nadafinite
2425173170,annietul
710907035441881088,skyjones55928
36965034,clubmoon
615444089,913Oscar
960603837831593984,MaliaKay5
1125399808670351361,LevishB
200232249,truthseekerinUS
819231737637117952,LoraJPerkins
2936406384,melissaadams53
882702011875110914,SteveZmann
67657700,tdtrpnr
553762366,rainbowrider111
1194598666000052225,tippitiwitchet9
2927166604,Stevens15Terri
91472402,MelitaBommarito
3145925459,DroletLinnie
1253120660,dac_1964
4846261378,KathyTa57912064
1238220133224546306,sherry22078290
171979677,kirka33
1090958724796014592,JohnMAGA2020
1264875024902733828,HappyArmenian
1206077132868218880,GeorgeL05179817
518235458,blessedboymama
1268279242128834560,Kypatriot52
1197208588739067906,MJPATRIOT2020
945982718336258048,TronnesDeborah
761025278495760385,dktietze
260108370,JGrenier_DZYN
1268503975373836288,redpill53
1249068782825299968,Stella54994003
881690291576737793,Scuffed_Yeezys
913398306,ybnvs1089
816297127936688128,BrendaS83981450
1227646322901164032,SusanPohl4
953503640341299201,mailman95420
3112833876,Mr_Clean0007
1246714321,ChemtrailedSky
1259968065015631872,GoodNewsPatriot
860725088,marsden_lauri
804004260891463680,thetrut00379716
709504328,starkgone
1069320162891972609,GodsDrunk1
2734856350,Norm2007Daunais
1117493197,chuckyow_yow
875481596165464064,KarenAm37109806
526643085,CrabBlue
1064339686800408576,Therealvickiew1
1270120925166473216,eon4_q
1088083293466230785,Dean24466231
44277024,CFoetisch
766242758340280320,brokenveteran2
1230127721902149637,OnlyMe02749494
766257948150628352,mariakasper50
3033483532,Davidwatts_2000
798562630814277633,Lori_M123
985706303585583104,T78Brady
386745796,richspama
825912779324420096,rhondamint
968260040204353537,Marcell218
1225355111779594240,SandraT32679906
1086783752213155841,SparQinator
286760617,SusBriMartin
481246985,ChrisHasissues
1242480788635033600,Chrysta26745270
984788431074222080,pandelian
1215430780517801989,NickPotenzieri
761549772935208960,Shamira_1925
822545763414802432,_Lisa_Maureen
1069618188940427264,Liz23729517
3302849880,CommonLawRules1
167398135,clxpertmaga
1257005999069761539,florida_betsy
1144239281537474561,MarkRohan15
786737340274409473,avery1twins2
885263892460470272,the9thhouse
1133509905002975234,benpirozzi1
1638480757,KagDulce2020
1239614152278036488,USAROCKS8
138286866,jblightner58
372998325,bluefishja
1143695682991251456,TXLiz6
1243095824210542594,SirWilliamScot5
1211509116599816192,YingstPaula
806352078083858432,JohnJhill194694
328235453,METQQ
586916424,flobiundo
458432162,kim_texan
3305261097,RoseB1859
1244297539240841218,MBM2820
3358872639,TinfoilMama
2752216977,KrajcerMichelle
986528075121741824,WinstonSmithNot
1131681738,Jrc62652180
759234375015956480,93ParkAvenue
808780011520008195,TotoMFrog
3106743727,lmdixon5
1034665182059028480,SaschaR71471008
1076689767306153984,DebH63951470
1244902447824461824,Flying_Shadowz
1138605597874503680,Elizabe66124964
817025099115143168,richrock624
1089765013089177600,OSILVA69208918
1146449963368534016,royshingles
1228199133216796673,Wickedreal1989
1219688524573806600,Lib3rtyLov3r
1246466588687003648,ginghaa
1038834638993739778,prayingfortruth
1182571325682003968,TinaBravard
1215203931036495872,REGINAELVIRA4
741319921997471744,josieelllis
843663530683437056,cindy_senna
849741844917432320,BillDargel
825059185469554693,winterhawk1945
1153026940011524097,TruthWa88868072
1142264564874186752,FlwrPwr5
273440511,becketfan
867407237874155520,fengshui4u2
2234325279,aaron71642229
945352557152624640,TomZBHappy
849826970338607105,Doubleooh7Mary
3023012856,david_dshelton
1236107117322354689,pSa30_5
786657090316169216,pickypatriot1
862312785375514625,ElizabethTosh1
2317678442,MMrl7700859
1208753374528724993,CrashDa90850026
798721186867752960,NoahsArkworks
46586162,nateWmorgan
3219716572,carenkatz
582752523,mammakeane
806559748833165312,italianmom555
986456351487520768,AMCanaday01
1018648320355586051,12retiredteach
1271279337828790272,TLT777777
1069375726539943936,ShirleyRinguet5
1254149646928183296,CMoses10380708
788911340853288960,Patriotredusa
94802779,KretschEngineer
20094971,moneypenny1
337481472,Walan_Kite
960548611003244544,SAMIAM24429015
1248028235671031809,NormanVO3
484022197,jessymc30
132242950,chopsgordon
1169011762169077761,MelodyJ37001676
74964516,RobertFouquet
521567769,TomDanek
34428328,djsepsis
885091269625749504,Kldavey1
1241969618778034179,oboiukov
34018195,Nectar0fLife
143802861,Infosource4U_
1134263269261172736,SlyPark2020
1089545114526072834,StadMary
1264151463988621312,icwhaticdou
321067957,TorySC
1044978954485084165,prinzhasel4590
774614888933011456,Starla_Is_Awake
381622296,m_fox10
2356527949,EmardMay
910243757823594497,Ruby91880512
93258363,correctgirl1
409573360,AurelianGirl
414065617,Unique5781
1208795995112443906,mtp7737
1179117192312307714,Slyvest72978336
