id,url_id,user_id,created_at,type,is_mention
1326039854707302401,None,None,2020-11-10T05:51:52.000Z,None,None
1326122581896945665,97865268,491253462,2020-11-10T11:20:36.000Z,quote,False
1326122252665049088,97865833,988419512637804544,2020-11-10T11:19:17.000Z,retweet,False
1326122232192634881,97865833,25073877,2020-11-10T11:19:12.000Z,quote,True
1326122197824442368,97865833,1268511760287502337,2020-11-10T11:19:04.000Z,retweet,False
1326122052043018241,97865833,18083068,2020-11-10T11:18:30.000Z,retweet,False
1326121910443405312,97865833,4453420215,2020-11-10T11:17:56.000Z,retweet,False
1326121886464536578,97865833,4453420215,2020-11-10T11:17:50.000Z,retweet,False
1326121760807411713,97865268,863089740,2020-11-10T11:17:20.000Z,retweet,False
1326121621124427783,97865833,891101580623323136,2020-11-10T11:16:47.000Z,retweet,False
1326121416312442880,97865833,1147989900,2020-11-10T11:15:58.000Z,retweet,False
1326121137194098689,97865833,73048382,2020-11-10T11:14:51.000Z,retweet,False
1326120491430666240,97865833,796448345564643328,2020-11-10T11:12:17.000Z,retweet,False
1326120074990686208,97865833,158064102,2020-11-10T11:10:38.000Z,retweet,False
1326119789262237696,97865833,715884357928488960,2020-11-10T11:09:30.000Z,retweet,False
1326119375582220288,None,None,2020-11-10T11:07:51.000Z,None,None
1326119095507574788,97865268,1023282140,2020-11-10T11:06:45.000Z,retweet,False
1326118972434112512,97865268,1023282140,2020-11-10T11:06:15.000Z,retweet,False
1326118428655149056,97865833,1009767521640157184,2020-11-10T11:04:06.000Z,retweet,False
1326117351889252353,97865833,538858475,2020-11-10T10:59:49.000Z,retweet,False
1326115604970016768,97865268,463770958,2020-11-10T10:52:52.000Z,retweet,False
1326114262880841729,97865833,1101251708,2020-11-10T10:47:32.000Z,retweet,False
1326113839956578304,97865833,1211959923417862144,2020-11-10T10:45:52.000Z,retweet,False
1326112417756176384,97865268,730378612294066176,2020-11-10T10:40:13.000Z,retweet,False
1326112349279956992,97865268,730378612294066176,2020-11-10T10:39:56.000Z,retweet,False
1326112036225310720,97865833,369326402,2020-11-10T10:38:42.000Z,retweet,False
1326110606437490688,None,None,2020-11-10T10:33:01.000Z,None,None
1326110366355615745,97865833,725332871796383745,2020-11-10T10:32:03.000Z,retweet,False
