id,screen_name
24120355,SeanColarossi
14792049,politicususa
108733822,votematters2020
1072937413545201665,Fueldog1
1113074142289543169,pthe_u
531899098,SullivanMonty
884909875641278466,Mekitty4
16909343,bethlevin
186289309,CID2ADL
754303782851268612,wheattree5
1190980307584983041,JasonCPatriot1
147256119,gabe_aguilar03
750029058,MainelyLeahy
1091427224991879168,tpham26863223
826474779670634497,BeachBarrister
34121513,Inskee
17822006,beansighe
238656915,Jan_KraakSD
802673600054644736,ShellySin1
15577545,scott_squires
850712117573537793,GODZILLASLAYS65
175195407,timefor25thyet
737654214831153153,STLMikeOB
51330975,dierdrelewis
751272770932133888,BlueVotesMatter
275714700,letat_lechat
49709159,suntansea
824611548488466432,JohnWOwens
2375797268,Pikaya61
836611602,kghope9
1176226486505934849,FedtheEffUp1
19404330,laladoza
5556372,TUser123
357232722,iamforeverblue2
1654142202,2jimnjo
982353835929763840,Nursegwendo
1491795722,KDavCor
1012425825071665152,CathyB84649804
40151990,soaprookie
20307500,mbsd29
16892534,Serpentine202
503280950,highplainspoet
281145527,opedwriter
883767102,LiselBruns
928712572471336960,BrendaHazelhur1
157013030,TodaysComments
290028823,tbell1968
316836701,Linusthesheepie
1063026714,TrixieP_1
506912325,ANTHONY54W
245431257,DonQuixote1950
91639946,n0vadust
21834836,princessearl1st
1176458901010702336,Eden_Sarbanes
897879127855910914,valerileist
15150904,techweenie
795375571974914048,CPresser_2
45649295,catmom001
708309848,bndsnoopy61
950426113,msjbe20a
976734595,PolitJunkieM
616996381,SteveL202
4779546710,Citizen_X_223
29600879,magananda
177777800,Brarbs3
338611466,ArtisticEye1
794141460,msdee1672
342896528,nater81j
9003842,Mike_Padgett
787728919,GierlakDavid
57785323,preachingterp
2282628494,h_jenaro
1151745624678621184,Stardustraven2
354523574,DarrellPMWest
1935600896,abutler04
2818431870,unclefrank706
826167433442492417,martybgood1
1102368558,ErinSnider10
1034000112,Debbiee46
3468210555,OZUrsula
2956244079,MaryTrinetti
1140318085,xscoutie
1086286636919521280,lindalouresists
3003278121,donkos24
1158794138286022657,Saoirse33454490
822988306443108352,holme_susan
1101237231187046401,TekStol
2788398650,khankiso
2447518880,Catwheelie
349084023,Eddie72J
237042055,Dharma53
274253864,cbcwatcher8
1033638406071312384,AnneMBatt1
291774022,wvjoe911
1332393236,pnbrown13
17053155,UrbanChatLine
1061990982823088128,Erinstruth
20965886,sunnynash
3235507315,rocksNut
16408985,realtorshea
42154292,maryecasares
262389497,wbc2027
39724652,zaphodsbud
353433879,arroyosmith
2510918743,CFraase
32920518,nicojanssen
260503264,bluesuezoo
2750799759,pushandpulljlm
726760333,HumphreysBeth
1022975275208859648,SueHarrisSoCal
25766596,LZeefe
49172121,taichinow
38704097,centsible
844745947,Trini1903
41865730,zzelda01
591964833,JohnnyHeldt
322354051,klkolz
104532905,davelikesfish
1871893321,rboudbee
86669274,Masky_Jay_Hoody
66360919,nypapajoe
1103023226907779073,MommaMaple
126652237,JDB10101
116504222,ActDontReact
495156613,Cindy63306167
1062357647066890241,caborradaileho1
1212245654354849792,saavik2020
824298845739700224,BarbaraMead20
2652011282,kbrunocrafts
354615410,LonnieSchreiner
242929999,CrazyBob48
391720953,SnapsieSandra
296996323,ANNSISCO1
291792786,Ralf_Lx
236144512,forester6291
862754720204570624,Katbluking
114886485,colin_mansfield
1033162882471477248,Susan35763565
53979193,DeeMc47
44866655,CarolDolan
2212806900,KatDaily57
778251430285021184,sparkymiranda
760478434095226880,McnellisWilliam
976522138185338885,BryanLeo1954
890238573026398208,1Corvid
823209839434338304,CurtGaudi
8381832,dougpete
203611601,JoeKing3333
716072847622414336,StayHopeful16
4175155288,ma_nyc7
1239206878946701317,JackTzu1
178876880,sonneyjo
823264348172931073,HatCanada
2886104476,SnrkyMcSnrkFace
1108416564238258176,VivaLaMaquis
144325625,MauriceMichael
1528245961,DaleRecruit
541316442,TimothyFranzen
766445322797211648,FrankieFante66
49098949,bluegigi
120160243,Dolphinundrwtr
2950306658,chavezglen1755
1009515484990050304,GrandmaShark18
23386530,rini6
2792290323,18TruckaMan
279358548,keriRN
31000144,MpoppEileen
3221818159,AmazonianGal127
236093569,nevermore_007
497335595,jaydenj_j
716905889,buddy_dek
31369265,aquarius1049
44537636,fdjordanjr
23673826,RubyAndrewsU2
366374544,reevynap
759709215594311680,lhumphries13
624170020,KKDsMiMi
1223400489057951746,mj_ruleoflaw
979936022,SincerelyCosmic
29995481,AHS1974
4538211017,gormangahst
825488341197942784,Vmbritsch
1952016942,oortmist
1194555324516249602,UnioniseC
38881442,martinbuggy
626391901,EugeneVDebs3
1069405336040349697,InformedConsen3
22451920,DocAntB
4513868475,TheRealECSny
464982966,jtkstc
17643749,crewislife
1122235804816900096,tweetusmax
741475172180430848,GaryMartinV
17312357,gstuedler
803840950783053824,carlottaclarice
983338611872620544,BrianLCountrym1
1205444630067793920,Richard46792154
72552866,USRealityCheck
590548511,CarlGreiner
261315165,athendoflight
218320239,Gluna21
840239615273459712,DianaSc99717236
169126226,Outwest123
142096963,GoogeliArt
439394840,MisterStop
223118993,Keihud
19466620,usaf__vet
252412547,LiberallyHappy
938619859352502272,wilfidde
229623135,LBinder57
20088907,moliveri
1034272792676421632,PeterBo49858290
14173315,NBCNews
15012486,CBSNews
2836421,MSNBC
28785486,ABC
759251,CNN
1080268445860605952,Imatq1
