id,screen_name
2504981221,td21241
8953122,PolitiFact
799380569578700800,Terrilapointe48
1222682590018179073,JamesOr56525348
1031366972657860613,RobertABixler1
784817806898364416,SunshineLK10
3988724416,csinut1
32299631,mymeditrax
1038958721546768385,patriot_loves
1107824846862499842,covfefe253
456228940,RazorPack65
1011105825731985413,AnnLysight
1063963827111288833,Rhonda23194796
1103768573460312065,nyghtfox
837872508128923652,wendyrash13
1242029580770295808,nofear868
1245441848635604992,TheBeardedLad12
3023210481,kricklys
3224718565,kbdodson
421979360,Hankdad1
24944473,isc00t2
1219465273218125831,MntnLynx
785902212480315392,commonsensejan
416599045,jwetzel21
1086418792736047104,LindaBlank18
1111017066713104384,Crankygranny3
1117290026142978048,Red_Pilled_Day
1116332844945674241,FitPatriotUSA1
1026009336462462976,CIG_KingJames
2955831936,sjhendrix548
935326817824645121,GayleStorm74
137721735,Kabimbels71
815891575859462144,TheJokerMouce
339905691,TrumpBender
731160794,BeverlyConserv1
348559742,2ndGenPat
1072191057843142656,Gary36387032
974103996817379328,StappElizabeth
183502531,onealajo
24722363,carrilit
548015064,HashtagHag13
1277778726005153796,QanonRs
42749187,JeffreyFrye
123603770,daddyomar23
32608996,kimmi_chelle
1217278806156689408,Ribick11
824063435755450369,JohnALombardi2
4417360752,elividal471
976197204770779136,truthandtrustfl
1009466031922917379,Teresam46396557
1117587098867884032,JRyanBlake1
17760630,KEEPINGTNRED
815957047359537153,crotts_dan
391306275,01_zebra
1086290374547537921,EMouthy
1440616824,jacey_yorke
1127382396683210752,BeckyB23737528
1383820016,Patriot_Jargon
956920298447757322,f_modzelewski
247860908,Cocofritz
1446627703,diana102252
778086440194478080,shannoneffects1
2605774730,JaguarJinx
196411725,51LouShelly65
818452914834288640,beermanTom
41089989,tweety07191959
1108483445745963010,CatsTalkBack1
1164560599155478529,CarySimonds9
136331968,Tweet4lfe
822693356216184833,LinneyAnnette
786612414095777792,cyndiCDG
730074470010982402,wonderworld2016
1188863472689405953,hair_tcare
797960376671293440,amcarmela2
57120126,kull48
761360517441007617,MissyKillion
1113541868023877632,VSanax
923368757803847680,ttocs35
1251023650976870400,KimBforTrump
3031988608,EyeofSeeing
892560340654759936,yieldtoprayer
1077908538448625664,CDigrugilliers
757568840104497152,lancasterwhims
1227249535010902016,SandraLK7
760933159970144256,w_tanner9
807524931802198016,LonnieCRatliff1
533689311,cinco_d_mayo
1012475880248143873,Karrasamelia5
32341481,katchase
1025807158338875392,RPDOTCOMPAGE
465316460,DLtrumptrain
25361534,havewegonemad
1268016538516250632,Maureen95915536
905153319253004288,groth1945
728021810508382209,carlson75111
711900542147153920,Snow51388
22010285,gardengirl625
1011331419174420480,VegasPatriot2
855828970557677568,acadianbelle
1253094345252765703,TrumpFo
57431771,grh4345
816030049644216321,Greg_Kane17
825537897692614658,JW040458
3304776561,bowlingnana1
3384716398,MissCandio
821778111788417026,fit4aqueen3
602274330,c_cgottlieb
1019803322642034689,chorkygirl1
853086344737902594,Aldrpeg4
1258460574,patriot45Lynn
316877292,dirkbowowtzki
25681880,DBM69
84962517,DeploraVille
1166057216715214848,keepfighting150
830538315036229632,Sundncefn
724387981,RedHoss44
1174708080602488832,MarieRaine3
844224797127131136,madepilita
272064857,vanessacvenus
786758812233506817,Pat_riots2KAG
797409551473590272,zsixkillerk
1011711509557374976,PowerNation22
908384216576086017,JoannVarnado1
1018194906,CrazyCatRescuer
748838545406787585,Writernan11
3289389685,dapoool
1243336228948324352,josephj68817092
1094985988122857473,pocothunder
870468896255385601,IrmaBel53130008
824900464491704321,User_Name_Null
1070155320503296000,QMEUP2
903408099993759746,not2far2right
2215680066,mekismet
276747873,myraj28
1035021395858620416,Johanason18
1414186387,smiling_at_you1
293631912,Kintu3
895447267246612480,Jim68183377
16794451,Vazhog
888019332,ojustgrammy
746567435470405633,DemsH8Americans
1037466928762236930,TAdler19
2575597484,USATrump1963
1520142104,daryacallihan
815796009569685504,nmhoney11
1325166326,cocoaudie
1060168042376822784,dshepherdtrump
1242552665881501696,ChuckSteeleSr
2825055344,NOTSUE4
717035360,cindygermain3
451272899,drmojo1975
774248579258908672,MT4LtdGov
20208761,kent4jmj
86366039,Shalys_Petty
781497453333712897,wishnic4u
755804692551176192,stormywind31145
823751044240842752,doctorneilsmith
1176466803737944065,AnnMariePetry1
825914361646493696,stephenjalter
1335331519,panheadi369
347586568,American1299
771123559896719360,JimBoForTrump
29785176,cliffhangernlv
719559939,DebraSteffes
2167396675,JaneOrLean
19977396,alfredleopold
9020412,cathyharris1116
1221909546760908802,FayeCoo18898644
1119951325817712641,JMart29479997
15764644,SpeakerPelosi
2752528303,Monte_73
31559952,MirabaiGrace
386507775,USPS
816657723278393344,deltadeb9860
704879066072129537,TammyTamzie
240454812,GenFlynn
24822993,tracybeanz
586707638,SidneyPowell1
33224816,siciliancnq
287884686,AllOutPatriot
63708834,lkburnett
465897623,WOBuch
469819519,ghfive3
3430849606,patriottigeriii
913135698,TheMangoMan7
1226240797,kimmyy1960
2917954661,2ParkCity
33611715,PatVPeters
709294088,Smurf4555
125630525,Furlicity
2974065803,phildeb1
1732554619,1Xtrem
36934558,123RHGreen
443813947,stpstockman
1012536268364959746,SLPete2
34993057,JustMePammy
84664262,edhyperlinks
851269020070232065,sheba_beta
1138871466538278912,RuthAnd13629292
833066234556080128,GhostlyRiderBeo
826277337792651264,the_Impolitic
416723234,qwreggelsworth
828390809317756929,badluck_jones
1127575206564909057,CattyScatbrat2
17846441,emboyd
1247659885141078020,LilBuff9
1977365496,pal29b
1143588853665751040,HB04920973
1228644446842974208,AltamiranoAdele
561310591,USMCMIL03
930683335,Want2BNTexas
824075101729652736,Deplorable_Rick
2322774312,Lovetoteach50De
1220107769946263552,RuthTausz
877917028266520576,MichaelBizuk
15804501,zenj8
50851420,truckster1
882698347836055552,deplorableMilt
980836107431628801,vernonloons
773891981386842112,patricia_cotto
2993975016,srrabon_
1024042029670690818,UMightGetMauled
763534904,KristyM9
759080915762950144,recked56
753040226881146880,Way2Sober
2917954106,drumhellor
1274449455966814209,subvet66
1160884009586614272,DavidKn47482039
562927744,ErnestFannin
851092004524130305,penchant4fowl
17685258,parscale
25073877,realDonaldTrump
43508994,BAMAPERRY
3097951626,_MoCowBell_
714977159769509888,ms_kux
27460453,JDMarvin
1103910181065248768,HighPlainsView
969318211,_NCPatriot_
968625546958704640,4Libertyinlaw
16704290,chris_norcal
19635027,makinmemories
366031388,PatriotMarianne
1153427894787379200,BlackardDan
331962799,acardnal
1206227149,repmarkpocan
1192181349148438530,yourmama210
1265692133786292226,HARMONY77306078
1200922307398717440,Lilmsdangrus311
562836938,vrosalia2
1164814765,usafirst444
1201932885835468800,VickiSm68726834
948527183089291264,WaterBuffalo6
814251233364086788,RichardAlengi
307953310,atimetospeak
243297589,jimaw63
1050849553291849728,teresa_freedom
36845672,SuzieG888
1159675325992845312,Marine_Airwing
880818095786524673,Kimbraov1
799289872393633792,RedRen710
3581716035,KJPritchard4
806875093548810240,GaryQ57
796100784,lipstickpundit1
998950002327203841,Mpskr4
749437963742961664,StevenRCorey1
785310754803109889,Denneo911
1226242517655597056,DelectoDelicio
16188111,conniesmiles
355440768,PRheydt
952814856,LisaLabellarte
2792214981,frankievana
1248427341769887749,YeetMaga
4417558281,ThisIsMarisTest
369721618,haselcheck
796427120704684037,LarryMarcey
754083868106330112,POPsOFTHEPLAINS
30968436,GrandmaK503
758118360353734656,robothearab
1140855259,2_Firebaugh
526914568,performancecntr
65517621,smitty_one_each
527881024,theseRthetimes
26572089,RennaW
2683368271,AuthorofAbsurd
140672475,mmshowalter1
72994171,purpledalmation
922910353196965888,HJLH2Ocolors
924619976924979200,Gval1209
46303458,paulbenedict7
439517291,villarre11
92267344,SpinePainBegone
737421640888389632,AMKNIGHT007
2602409682,UpinCT
2410963128,NMugai
2514475647,soniaerasmus
2270754841,annemay65
24996451,wrestlerkw7
1250226344551735298,ragst0rm
1222411479674056705,DinahDe55067990
736696842315005952,julieshaw2001
45759280,SlimMarley615
1033237585,buddha2xx
19291441,GovAbbott
217652056,Spikey9990_1
49225576,d_childress
991599836,strangegarden7
953581502666768384,Jwind20
1705891969,E_Stasz
528612279,Yahtahei
4894000274,hufco60
