,id,title,date_published,which_half,url,domain,num_tweets,score,site_type,num_peaks,active_days,lifespan,active_ratio
1921,1876748,New Jersey politicians charged in massive mail-in ballot voter fraud scheme face years in prison,2020-06-27 15:15:07+00:00,1,https://www.theblaze.com/news/new-jersey-politicians-charged-in-massive-voter-fraud-scheme-in-election-with-only-mail-in-ballots?fbclid=IwAR0h_FmseC8deZBxP3SneHHGu9lwGKaZOZFM4CsP6YDfe9x096RZ8ryhf8U,theblaze.com,962,55.7860336304,claim,1,40,132,0.30303030303030304
1923,1878258,1 In 5 Mail-In Ballots Rejected As 4 Charged With Fraud In New Jersey Election,2020-06-28 14:31:07+00:00,1,https://www.zerohedge.com/political/1-5-mail-ballots-rejected-4-charged-fraud-new-jersey-election,zerohedge.com,663,8.5659332275,claim,1,14,80,0.175
1924,1878824,Ballot Deliverers' Union Endorses Joe Biden for President,2020-06-28 19:56:12+00:00,1,https://www.breitbart.com/politics/2020/06/28/ballot-deliverers-union-endorses-joe-biden-election-manipulation-accusations-mount/amp/?__twitter_impression=true,breitbart.com,645,91.565574646,claim,1,32,131,0.24427480916030533
1925,1873510,New Jersey Mail-in Ballots Reportedly Destroyed in Mail Truck Fire,2020-06-26 01:12:29+00:00,1,https://www.breitbart.com/politics/2020/06/25/new-jersey-mail-in-ballots-reportedly-destroyed-in-mail-truck-fire/,breitbart.com,643,9.1030063629,claim,1,13,91,0.14285714285714285
1926,1873250,Barr Falls Apart When Pressed For Evidence Of Mail In Ballot Fraud,2020-06-25 04:00:00+00:00,1,https://www.politicususa.com/2020/06/25/barr-mail-in-voting.html?fbclid=IwAR0aIro4ffrAvVOwoDRZ9GvZcfgZomccCAdnd0G6Zxa3KxbyzFJ0h9RNw3I,politicususa.com,512,78.3400344849,claim,1,14,60,0.23333333333333334
1927,1880159,Massive Mail-In Voter Fraud Identified in New Jersey -- Democrats Caught Harvesting Ballots in Bundles Refuse to Step Down from Office,2020-06-29 14:29:00+00:00,1,https://www.thegatewaypundit.com/2020/06/massive-mail-voter-fraud-identified-new-jersey-democrats-caught-harvesting-ballots-bundles-refuse-step-office/,thegatewaypundit.com,384,8.067644119299999,claim,2,69,152,0.45394736842105265
1928,1880857,Over 80% of Republican state lawmakers in Wisconsin voted by mail—while forcing others to the polls,2020-06-29 18:42:32+00:00,1,https://www.dailykos.com/stories/2020/6/29/1956926/-Over-80-of-Republican-state-lawmakers-in-Wisconsin-voted-by-mail-while-forcing-others-to-the-polls,dailykos.com,350,7.5541486739999995,claim,1,5,5,1.0
1930,1877181,Trump’s war on mail-in ballots is blowing up in his face and hurting Republicans: report,2020-06-27 19:48:39+00:00,1,https://www.rawstory.com/2020/06/trumps-war-on-mail-in-ballots-is-blowing-up-in-his-face-and-hurting-republicans-report/,rawstory.com,215,9.0035667419,claim,1,3,13,0.23076923076923078
1937,1872577,Trump's Shaky Warning About Counterfeit Mail-In Ballots,2020-06-25 13:37:30+00:00,1,https://www.factcheck.org/2020/06/trumps-shaky-warning-about-counterfeit-mail-in-ballots/,factcheck.org,83,9.6548538208,fact_checking,0,30,153,0.19607843137254902
2016,1900110,BUSTED: Trump family members encouraged supporters to vote by mail in recent robocalls,2020-07-08 14:51:32+00:00,2,https://www.rawstory.com/2020/07/busted-trump-family-members-encouraged-supporters-to-vote-by-mail-in-recent-robocalls/,rawstory.com,794,8.2114667892,claim,1,12,86,0.13953488372093023
2113,1915386,Mail-In Ballot Fraud in New Jersey Signals National Trouble,2020-07-15 17:18:38+00:00,2,https://www.judicialwatch.org/investigative-bulletin/mail-in-ballot-fraud-in-new-jersey-signals-national-trouble/,judicialwatch.org,3945,108.4667205811,claim,3,33,116,0.28448275862068967
2114,1919165,California Throws Out More Than 100000 Of 7 Million Returned Mail-In Ballots Over Mistakes,2020-07-16 04:00:00+00:00,2,https://dailycaller.com/2020/07/16/california-newsome-pelosi-trump-mail-in-ballots-vote-by-mail/,dailycaller.com,1201,7.9313254356,claim,1,10,14,0.7142857142857143
2115,1907386,Postal Worker Pleads Guilty to Altering Party Affiliation on Ballot Requests,2020-07-11 16:42:04+00:00,2,https://www.breitbart.com/politics/2020/07/11/mail-carrier-pleads-guilty-election-fraud-altered-party-affiliation-absentee-ballot-requests/,breitbart.com,971,88.6962051392,claim,1,16,76,0.21052631578947367
2118,1908589,Problems With Absentee Ballots in Wisconsin Hint at Election Nightmare,2020-07-12 04:00:00+00:00,2,https://pjmedia.com/news-and-politics/rick-moran/2020/07/12/problems-with-absentee-ballots-in-wisconsin-hint-at-election-nightmare-n633255?bcid=408b479dd24f6b6f83735ab13c605004&recip=19236995,pjmedia.com,421,8.0676813126,claim,1,8,132,0.06060606060606061
2120,1911789,Trump Election Rigging Backfires As GOP Pollster Shows Him With 15% Of Swing State Mail Vote,2020-07-13 04:00:00+00:00,2,https://www.politicususa.com/2020/07/13/trump-mail-in-vote-poll.html,politicususa.com,253,8.7678165436,claim,1,4,4,1.0
2214,1925157,GOP Wins Court Case Keeping Florida Ballot Harvesting Ban in Place,2020-07-19 22:43:02+00:00,2,https://www.breitbart.com/politics/2020/07/19/gop-wins-court-case-ballot-harvesting-ban-upheld-in-florida/amp/?__twitter_impression=true,breitbart.com,4921,101.75338745120001,claim,1,11,94,0.11702127659574468
2215,1938411,USPS Fails Mail-In Ballot Test,2020-07-25 04:00:00+00:00,2,https://pjmedia.com/news-and-politics/rick-moran/2020/07/25/usps-fails-mail-in-ballot-test-n697455/amp,pjmedia.com,4611,114.2809829712,claim,1,58,105,0.5523809523809524
2216,1934543,DOJ Announces Charges Against Former Democrat Congressman For Ballot Stuffing Bribery and Obstruction,2020-07-23 18:37:07+00:00,2,https://www.thegatewaypundit.com/2020/07/doj-announces-charges-former-democrat-congressman-ballot-stuffing-bribery-obstruction/?ff_campaign=websitesharingbuttons&ff_source=Twitter,thegatewaypundit.com,689,97.70191192629999,claim,1,6,106,0.05660377358490566
2217,1924590,Nearly 50% Of Americans Believe Mail-In Voting Is Vulnerable To Significant Levels Of Fraud: Poll,2020-07-19 04:00:00+00:00,2,https://dailycaller.com/2020/07/19/donald-trump-joe-biden-polls-mail-in-ballots/,dailycaller.com,581,8.0676813126,claim,1,11,109,0.10091743119266056
2218,1925149,Engelbrecht: Mail-In Voting Is 'Engineered Chaos' to Manipulate Election,2020-07-19 22:37:12+00:00,2,https://www.breitbart.com/politics/2020/07/19/exclusive-catherine-engelbrecht-mail-voting-engineered-chaos/,breitbart.com,522,8.6274251938,claim,1,17,107,0.1588785046728972
