,id,title,url,num_tweets
2359,1579512,IA Dem Party: 'Inconsistencies' Found in Reporting of Caucus Results,https://www.breitbart.com/2020-election/2020/02/03/iowa-democrat-party-inconsistencies-found-in-three-sets-of-caucus-results/,113
2445,1593972,Federal court gives green light for Florida’s 1.4 million ex-felons to register to vote,https://occupydemocrats.com/2020/02/19/federal-court-gives-green-light-for-floridas-1-4-million-ex-felons-to-register-to-voter/,679
2446,1597311,Ex-Clinton adviser predicts Bloomberg Clinton plotting 'scheme' to make Hillary the Dem nominee,https://www.theblaze.com/news/ex-clinton-adviser-predicts-bloomberg-clinton-plotting-scheme-to-make-hillary-dem-nominee,521
2447,1597331,Dick Morris: Hillary Clinton Will Get the Nomination in a Brokered Convention,https://www.breitbart.com/clips/2020/02/23/dick-morris-hillary-clinton-will-get-the-nomination-in-a-brokered-convention/,394
2448,1597385,Ex-Bill Clinton Adviser Details ‘Scheme’ He Think Is In the Works to Help Hillary Become the Democratic Nominee,https://www.redstate.com/nick-arama/2020/02/23/ex-bill-clinton-adviser-details-scheme-he-think-is-in-the-works-to-help-hillary-become-the-democratic-nominee/,363
2449,1597314,Former Clinton Adviser: Hillary & Bloomberg Planning To Install Her As Democrat Nominee,https://www.infowars.com/former-clinton-adviser-hillary-bloomberg-planning-to-install-her-as-democrat-nominee/,324
2450,1596783,James Carville rips DNC as Bernie Sanders wins Nevada: 'One of the truly stupid parties in the world',https://www.theblaze.com/news/carville_rips_dnc_truly_stupid,266
2451,1601727,Lindsey Graham: Bernie Sanders Nomination a Down-Ballot Democrat's 'Worst Nightmare',https://www.breitbart.com/clips/2020/02/27/lindsey-graham-bernie-sanders-nomination-a-down-ballot-democrats-worst-nightmare/,234
2452,1599680,2 Florida Democrats File Lawsuit Say Bernie Sanders Should Not Be on Primary Ballot,https://www.redstate.com/sister-toldjah/2020/02/25/2-florida-democrats-file-lawsuit-say-bernie-sanders-should-not-be-on-primary-ballot/,217
2453,1596967,Democratic Party Establishment Freakout After Bernie Sanders Wins Nevada,https://www.breitbart.com/politics/2020/02/23/democratic-party-establishment-freakout-after-bernie-sanders-wins-nevada/,154
2454,1599271,California Changes Official Language for Youth Programs From “At-Risk Youth” to “At-Promise Youth”,https://www.redstate.com/kiradavis/2020/02/25/ca-governor-newsom/,153
