id,title,date_published,url,domain,num_tweets,score,site_type
1553916,Michael Moore Sends Iran Leader a Direct Message: Let Me and Millions of Americans Remove Trump,2020-01-05T19:02:35.000Z,https://www.breitbart.com/entertainment/2020/01/05/michael-moore-begs-iran-leader-let-me-and-millions-of-americans-remove-trump/?__twitter_impression=true,breitbart.com,646,6.2215809822,claim
1555516,Michael Moore in Farsi Apologizes to Iran for Air Strike that Killed Qasem Soleimani,2020-01-07T15:23:14.000Z,https://www.breitbart.com/entertainment/2020/01/07/michael-moore-apologizes-to-iran-for-air-strike-that-killed-qasem-soleimani/,breitbart.com,468,5.9677276611,claim
1550356,Pollak: Welcome to 2020 the Year of the Good Fight,2020-01-01T04:35:24.000Z,https://www.breitbart.com/politics/2019/12/31/pollak-welcome-to-2020-the-year-of-the-good-fight/,breitbart.com,256,6.6697311401,claim
1551525,Watchdog to counties: Clean up voter registrations or get sued - WND,2020-01-03T01:20:23.000Z,https://www.wnd.com/2020/01/watchdog-counties-clean-voter-registrations-get-sued/,wnd.com,55,6.0907196999,claim
1551404,Trump Posts Eye-Popping Fundraising Total for Q4,2020-01-02T05:00:00.000Z,https://www.redstate.com/bonchie/2020/01/02/trump-posts-more-eye-popping-fundraising-totals-for-q4/,redstate.com,47,6.6697311401,claim
1553266,Soleimani Democrats and Progressive Regression,2020-01-05T01:00:44.000Z,https://www.redstate.com/stu-in-sd/2020/01/04/suleimani-democrats-and-progressive-regression/?bcid=b51440f2ae88ef265a1af0850adb4701,redstate.com,42,4.5744562149,claim
1555598,Michael Moore Apologizes To Iran In Arabic For Strike That Killed Soleimani,2020-01-07T18:38:16.000Z,https://www.infowars.com/michael-moore-apologizes-to-iran-in-arabic-for-strike-that-killed-soleimani/,infowars.com,39,7.122926712,claim
1550476,Judge Stalls California Labor Law for Independent Truckers,2020-01-01T13:04:30.000Z,https://www.breitbart.com/politics/2020/01/01/judge-stalls-california-labor-law-for-truckers/,breitbart.com,29,6.9314875603,claim
1554602,Don Jr. shows off rifle emblazoned with “crusader” symbols beloved by white supremacists,2020-01-06T18:00:26.000Z,https://occupydemocrats.com/2020/01/06/don-jr-shows-off-rifle-emblazoned-with-crusader-symbols-beloved-by-white-supremacists/,occupydemocrats.com,10,5.9677276611,claim
1555836,SAD! 2020 candidate Joe Walsh tells of how he lost almost all of his friends and supporters,2020-01-07T22:55:16.000Z,https://twitchy.com/brett-3136/2020/01/07/sad-2020-candidate-joe-walsh-tells-of-how-he-lost-almost-all-of-his-friends-and-supporters/,twitchy.com,9,5.7426719666,claim
1555261,Joe Walsh's presidential run has hit a small roadblock in his home state of Illinois,2020-01-07T12:03:41.000Z,https://twitchy.com/gregp-3534/2020/01/07/joe-walshs-presidential-run-has-hit-a-small-roadblock-in-his-home-state-of-illinois/,twitchy.com,7,7.554148674,claim
1555473,On the Brink of War?,2020-01-07T16:29:15.000Z,https://www.globalresearch.ca/on-the-brink-of-war/5699922,globalresearch.ca,5,5.1984157562,claim
1555589,Leadership Contender Says Labour Needs 'Proud Socialist Leader',2020-01-07T17:57:39.000Z,https://www.breitbart.com/europe/2020/01/07/corbyn-2-0-leadership-contender-says-labour-needs-proud-socialist-leader/,breitbart.com,5,6.0907196999,claim
1555990,Wisconsin GOP Moves To Keep Trump Challengers Off Ballot,2020-01-07T23:23:44.000Z,https://bipartisanreport.com/2020/01/07/wisconsin-gop-moves-to-keep-trump-challengers-off-ballot/,bipartisanreport.com,4,107.2422409058,claim
1550931,Russiagate Investigation Now Endangers Obama | Obama,2020-01-02T03:25:43.000Z,https://beforeitsnews.com/obama/2020/01/russiagate-investigation-now-endangers-obama-2486062.html,beforeitsnews.com,3,3.8519039154,claim
1963233,The Struggle to Vote in the U.S.,2020-01-02T05:00:00.000Z,https://www.commondreams.org/views/2020/01/02/struggle-vote-us,commondreams.org,1,5.7426719666,claim
2067849,Here's a Look Inside LA's New $600000 to $700000 Condos for the Homeless,2020-01-07T05:00:00.000Z,https://pjmedia.com/news-and-politics/victoria-taft/2020/01/07/heres-a-look-inside-las-new-600000-to-700000-condos-for-the-homeless-n71892,pjmedia.com,1,5.8519153595,claim
1551821,Here Are Some of California’s New Laws That Take Effect Jan.1 | Blogging/Citizen Journalism,2020-01-03T01:13:09.000Z,http://beforeitsnews.com/blogging-citizen-journalism/2020/01/here-are-some-of-californias-new-laws-that-take-effect-jan-1-2638355.html,beforeitsnews.com,1,6.3156003952,claim
1553697,Can Colorado Voters Can Print Ballots at Home?,2020-01-05T15:25:25.000Z,https://www.snopes.com/fact-check/strawman-poll/,snopes.com,1,8.2104167938,fact_checking
1554679,National Donor Profiles,2020-01-06T19:51:57.000Z,https://www.opensecrets.org/orgs/index_stfed.php?gov=f&num=1000,opensecrets.org,1,6.6697311401,fact_checking
1554566,Homeland Security Will Share Citizenship Data with Census,2020-01-06T17:18:13.000Z,https://www.snopes.com/ap/2020/01/06/homeland-security-will-share-citizenship-data-with-census/,snopes.com,1,6.6697311401,fact_checking
1911342,HERE WE GO: Schiff Calls For Congressional Hearings Into Trump's Drone Strike That Killed Soleimani,2020-01-06T20:31:31.000Z,https://www.thegatewaypundit.com/2020/01/here-we-go-schiff-calls-for-congressional-hearings-into-trumps-drone-strike-that-killed-soleimani/,thegatewaypundit.com,1,6.9314875603,claim
1553727,How Brexit Produced the Largest Conservative Majority Since Thatcher,2020-01-05T15:38:36.000Z,https://www.globalresearch.ca/how-brexit-produced-largest-conservative-majority-since-thatcher/5699664,globalresearch.ca,1,2.8961474895,claim
