id,title,date_published,url,domain,num_tweets,score,site_type
1166768,Audit takes aim at county where Dems benefited from vote comebacks - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/11/audit-takes-aim-at-county-where-dems-benefited-from-vote-comebacks/,wnd.com,10,8.4734134674,claim
802257,Minimum Wage Hikes in 18 States Set For New Year,2018-01-01T21:22:54.000Z,https://www.infowars.com/minimum-wage-hikes-in-18-states-set-for-new-year/,infowars.com,10,9.6289386749,claim
906862,Oregon initiative would ban ‘assault’ weapons,2018-01-01T00:00:00.000Z,http://www.wnd.com/2018/03/oregon-initiative-would-ban-assault-weapons/,wnd.com,8,21.2866783142,claim
1145802,McAuliffe: Hillary ‘never going to be on a ballot again’ - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/10/mcauliffe-hillary-never-going-to-be-on-a-ballot-again/,wnd.com,7,100.9802398682,claim
1152759,Franklin Graham: ‘Stakes very high’ on Election Day - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/11/franklin-graham-stakes-very-high-on-election-day/?cat_orig=faith&fbclid=IwAR02bDIQSJryV76GOXvQxbVS5UlBRU-BwLNxe7GTQQaiK6tyteHW5H1KKVs,wnd.com,5,8.5220489502,claim
1152759,Franklin Graham: ‘Stakes very high’ on Election Day - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/11/franklin-graham-stakes-very-high-on-election-day/,wnd.com,5,8.5220489502,claim
1123704,Wireless voting machines vulnerable? States say safe - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/10/wireless-voting-machines-vulnerable-states-say-safe/?cat_orig=politics,wnd.com,4,8.4816761017,claim
1155090,Woman 82 dies days after casting 1st-ever ballot - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/11/woman-82-dies-days-after-casting-1st-ever-ballot/?cat_orig=health,wnd.com,4,81.0121002197,claim
1123704,Wireless voting machines vulnerable? States say safe - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/10/wireless-voting-machines-vulnerable-states-say-safe/,wnd.com,4,8.4816761017,claim
1147976,Oprah to campaign with Stacey Abrams in Georgia - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/10/oprah-to-campaign-with-stacey-abrams-in-georgia/?cat_orig=politics,wnd.com,4,8.3250637054,claim
1147976,Oprah to campaign with Stacey Abrams in Georgia - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/10/oprah-to-campaign-with-stacey-abrams-in-georgia/,wnd.com,4,8.3250637054,claim
805986,Virginia Officials to Draw Name From Bowl to Decide Election,2018-01-04T16:35:20.000Z,https://www.snopes.com/2018/01/04/virginia-officials-name-bowl-election/,snopes.com,2,8.0965089798,fact_checking
1156394,Health care beat economy as top issue for voters - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/11/health-care-beat-economy-as-top-issue-for-voters/?cat_orig=money,wnd.com,2,8.2870855331,claim
807237,‘This Is Not a Drill’: Attorney General Sessions Coming for Nation’s Legalized Pot,2018-01-05T07:00:14.000Z,https://consciouslifenews.com/not-drill-attorney-general-sessions-coming-nations-legalized-pot/11146706/,consciouslifenews.com,1,8.3943500519,claim
804756,Judges deny Democrats' request to undo recount decision,2018-01-03T18:49:56.000Z,http://www.breitbart.com/news/judges-deny-democrats-request-to-undo-recount-decision/,breitbart.com,1,8.1758403778,claim
810148,Hope y’all enjoy 2018! Why Democrats keep losing brought to you by their OWN Twitter account – twitchy.com,2018-01-07T00:00:00.000Z,https://twitchy.com/jacobb-38/2018/01/07/hope-yall-enjoy-2018-why-democrats-keep-losing-brought-to-you-by-their-own-twitter-account/amp/,twitchy.com,1,8.1038379669,claim
805707,Officials to draw name from bowl to decide election winner,2018-01-04T13:00:41.000Z,http://www.breitbart.com/news/officials-to-draw-name-from-bowl-to-decide-election-winner/,breitbart.com,1,8.0965089798,claim
809033,Republicans should score a big win for employee rights | Opinion - Conservative,2018-01-06T23:00:49.000Z,http://beforeitsnews.com/opinion-conservative/2018/01/republicans-should-score-a-big-win-for-employee-rights-3352929.html,beforeitsnews.com,0,7.7676234245,claim
1156722,Marijuana stocks higher after Jeff Sessions quits - WND,2018-01-01T00:00:00.000Z,https://www.wnd.com/2018/11/marijuana-stocks-higher-after-jeff-sessions-quits/?cat_orig=money,wnd.com,0,20.3725605011,claim
804406,18 States Raise Minimum Wage in 2018 | Tea Party,2018-01-03T14:00:52.000Z,http://beforeitsnews.com/tea-party/2018/01/18-states-raise-minimum-wage-in-2018-2604451.html,beforeitsnews.com,0,20.0662479401,claim
805338,Who is Paul Coselli and why does he matter? | Opinion - Conservative,2018-01-04T03:00:51.000Z,http://beforeitsnews.com/opinion-conservative/2018/01/who-is-paul-coselli-and-why-does-he-matter-3352244.html,beforeitsnews.com,0,10.4283313751,claim
804104,Green Party Files for 2018 Ballot Access in Texas | Opinion - Liberal,2018-01-03T06:00:52.000Z,http://beforeitsnews.com/opinion-liberal/2018/01/green-party-files-for-2018-ballot-access-in-texas-2567611.html,beforeitsnews.com,0,104.6574249268,claim
804287,North Carolina State Elections Board Won’t Accept Evidence that Green Party is Now Ballot-Qualified Until Legal Dispute Over Board is Settled,2018-01-03T12:00:48.000Z,http://beforeitsnews.com/opinion-liberal/2018/01/north-carolina-state-elections-board-wont-accept-evidence-that-green-party-is-now-ballot-qualified-until-legal-dispute-over-board-is-settled-2567617.html,beforeitsnews.com,0,72.2573852539,claim
804334,Psilocybin (Magic Mushrooms) Legalization Effort Clears First Hurdle In California | Alternative,2018-01-03T13:00:50.000Z,http://beforeitsnews.com/alternative/2018/01/psilocybin-magic-mushrooms-legalization-effort-clears-first-hurdle-in-california-3585485.html,beforeitsnews.com,0,9.1479682922,claim
807803,Oklahoma: Voters To Decide In June On Sweeping Medical Marijuana Ballot Initiative | Marijuana Debate,2018-01-05T21:00:51.000Z,http://beforeitsnews.com/marijuana-debate/2018/01/oklahoma-voters-to-decide-in-june-on-sweeping-medical-marijuana-ballot-initiative-2453961.html,beforeitsnews.com,0,98.8435516357,claim
805410,NO Excuses! Initiative and Referendum has been Introduced in the Virginia General Assembly! | Tea Party,2018-01-04T04:00:51.000Z,http://beforeitsnews.com/tea-party/2018/01/no-excuses-initiative-and-referendum-has-been-introduced-in-the-virginia-general-assembly-2604479.html,beforeitsnews.com,0,9.8920764923,claim
801801,Psilocybin (Magic Mushrooms) Legalization Effort Clears First Hurdle In California,2018-01-01T00:00:00.000Z,http://www.collective-evolution.com/2018/01/01/psilocybin-magic-mushrooms-legalization-effort-clears-first-hurdle-in-california/,collective-evolution.com,0,8.8968658447,claim
808838,Deadlines to Put New Parties on the Ballot for 2018 Have Already Passed in Five States | Opinion - Liberal,2018-01-06T19:00:52.000Z,http://beforeitsnews.com/opinion-liberal/2018/01/deadlines-to-put-new-parties-on-the-ballot-for-2018-have-already-passed-in-five-states-2567799.html,beforeitsnews.com,0,98.327041626,claim
811695,Libertarian Hopeful enters New Mexico Congressional Race | Opinion - Liberal,2018-01-09T03:01:14.000Z,http://beforeitsnews.com/opinion-liberal/2018/01/libertarian-hopeful-enters-new-mexico-congressional-race-2567914.html,beforeitsnews.com,0,8.2495613098,claim
813872,Please Re-Elect Grass-Roots Activist Timothy Knight to NRA Board | Survival,2018-01-10T17:00:50.000Z,http://beforeitsnews.com/survival/2018/01/please-re-elect-grass-roots-activist-timothy-knight-to-nra-board-2687854.html,beforeitsnews.com,0,8.3400650024,claim
825340,#ReleaseTheMemo Trends on Twitter as Public Politicians Demand Transparency on FISA Memo,2018-01-19T05:05:40.000Z,http://www.breitbart.com/tech/2018/01/18/releasethememo-trends-on-twitter-as-public-politicians-demand-transparency-on-fisa-memo/amp/,breitbart.com,2386,7.1438589096,claim
825337,Gaetz: 'I Believe There Are People Who Will Go to Jail’ Over Intel Memo,2018-01-19T04:32:48.000Z,http://www.breitbart.com/video/2018/01/18/gaetz-believe-people-will-go-jail-intel-memo/amp/,breitbart.com,953,6.6836619377,claim
825494,Los Angeles Times CEO Is 55th Member of Elitist Media Accused of Sexual Misconduct,2018-01-19T13:11:22.000Z,http://www.breitbart.com/big-journalism/2018/01/19/l-times-ceo-55th-member-elitist-media-accused-sexual-misconduct/amp/,breitbart.com,550,7.3542952538,claim
825642,'It Would Be Governmental Chaos:' Schumer in 2013 Mocked Shutting Down Govt Over Amnesty for Illegal Aliens,2018-01-19T17:08:18.000Z,http://www.breitbart.com/big-government/2018/01/19/it-would-be-governmental-chaos-schumer-in-2013-mocked-shutting-down-govt-over-amnesty-for-illegal-aliens/amp/?__twitter_impression=true,breitbart.com,533,6.3708319664,claim
817272,Trump’s Porn Star Payoff Is The Final Nail In The Republican Party’s Coffin,2018-01-12T00:00:00.000Z,http://www.politicususa.com/2018/01/12/trump-13.html/amp,politicususa.com,377,8.809709549,claim
827946,The Blue Wave Grows As 2.3 Million People Participated In The 2018 Women’s March,2018-01-21T20:33:34.000Z,http://www.politicususa.com/2018/01/21/2-3-million-people-participate-in-the-2018-womens-march.html,politicususa.com,220,8.7222690582,claim
825857,DOJ Files Notice of Intent to Re-Try Sen. Robert Menendez on Bribery and Corruption Charges,2018-01-19T21:31:34.000Z,http://www.breitbart.com/big-government/2018/01/19/doj-files-notice-of-intent-to-re-try-sen-robert-menendez-on-bribery-and-corruption-charges/amp/,breitbart.com,196,7.0447239876,claim
825244,Matthews: 'To Some People' Obama Is 'Still the President',2018-01-19T01:04:20.000Z,http://www.breitbart.com/video/2018/01/18/matthews-to-some-people-obama-is-still-the-president/amp/,breitbart.com,194,7.5826840401,claim
818574,Journalist Murdered In Mexican Border City After Writing about Cartel Violence,2018-01-14T01:44:18.000Z,http://www.breitbart.com/texas/2018/01/13/mexican-journalists-murdered-border-city-second-murdered-journalist-8-days/amp/,breitbart.com,190,6.5218429565,claim
825501,Donald Trump: Democrats Want a Government Shutdown,2018-01-19T14:01:09.000Z,http://www.breitbart.com/big-government/2018/01/19/trump-democrats-want-government-shutdown/amp/?__twitter_impression=true,breitbart.com,165,7.2469677925,claim
825613,House GOP Leadership Sends Members Home Calls Schumer’s Bluff: ‘Schumer Needs to Decide if He Wants a Shutdown’,2018-01-19T16:24:40.000Z,http://www.breitbart.com/big-government/2018/01/19/house-gop-leadership-sends-members-home-calls-schumers-bluff-schumer-needs-decide-wants-shutdown/amp/,breitbart.com,151,6.8574929237,claim
822617,'New California' 'Secedes' from Liberal California Declares 51st State,2018-01-17T06:57:04.000Z,http://www.breitbart.com/big-government/2018/01/16/new-california-secedes-from-california-declares-itself-51st-state/,breitbart.com,108,6.6836619377,claim
826430,EU Watchdog: Massive Increase in Number of Migrants Heading to Spain by Sea,2018-01-20T11:34:07.000Z,http://www.breitbart.com/london/2018/01/20/eu-watchdog-massive-increase-number-migrants-heading-spain-sea/amp/?__twitter_impression=true,breitbart.com,103,6.9493384361,claim
826445,Donald Trump: Democrat Shutdown a ‘Nice Present’ for One Year Anniversary as President,2018-01-20T13:51:28.000Z,http://www.breitbart.com/big-government/2018/01/20/donald-trump-democrat-shutdown-nice-present-one-year-anniversary-president/amp/,breitbart.com,102,7.3542952538,claim
818180,Made in the USA Again: Fiat Chrysler Moving Ram Truck Production from Mexico to Michigan,2018-01-13T19:27:14.000Z,http://www.breitbart.com/big-government/2018/01/13/raminmichigan/amp/,breitbart.com,99,7.4661049843,claim
822337,Poll: Marsha Blackburn Leads by 53 Points Over GOP Primary Opponent Steve Fincher for U.S. Senate,2018-01-17T01:08:18.000Z,http://www.breitbart.com/big-government/2018/01/16/poll-marsha-blackburn-leads-by-53-points-over-gop-primary-opponent-steve-fincher-for-u-s-senate/amp/?__twitter_impression=true,breitbart.com,95,6.5218429565,claim
822337,Poll: Marsha Blackburn Leads by 53 Points Over GOP Primary Opponent Steve Fincher for U.S. Senate,2018-01-17T01:08:18.000Z,http://www.breitbart.com/big-government/2018/01/16/poll-marsha-blackburn-leads-by-53-points-over-gop-primary-opponent-steve-fincher-for-u-s-senate/,breitbart.com,95,7.1438589096,claim
825018,Nancy Pelosi to Guest-Judge RuPaul's 'Drag Race All-Stars' to Stand Against Trump,2018-01-18T21:44:12.000Z,http://www.breitbart.com/big-hollywood/2018/01/18/nancy-pelosi-guest-host-rupauls-drag-race-stand-trump/amp/,breitbart.com,88,6.9493384361,claim
